sequence_id	enzyme_type	length	organism	ec_number	pfam_domains	active_site_ok	len_ok	description
tr|A0A7X2XVC1|A0A7X2XVC1_9LACO	TDC	627	Secundilactobacillus folii	4.1.1.25	PF01276	Yes	Yes	tr|A0A7X2XVC1|A0A7X2XVC1_9LACO Tyrosine decarboxylase OS=Secundilactobacillus folii OX=2678357 GN=tdc PE=4 SV=1
tr|A0A848MVI1|A0A848MVI1_ENTMU	TDC	611	Enterococcus mundtii	4.1.1.25	PF01276	Yes	Yes	tr|A0A848MVI1|A0A848MVI1_ENTMU Tyrosine decarboxylase OS=Enterococcus mundtii OX=53346 GN=tdc PE=4 SV=1
tr|A0AAJ1WAM9|A0AAJ1WAM9_9ENTE	TDC	611	Enterococcus lactis	4.1.1.25	PF01276	Yes	Yes	tr|A0AAJ1WAM9|A0AAJ1WAM9_9ENTE Tyrosine decarboxylase OS=Enterococcus lactis OX=357441 GN=tdc PE=4 SV=1
tr|A0AAP7A1C6|A0AAP7A1C6_PAEAL	TDC	623	Paenibacillus alvei	4.1.1.25	PF01276	Yes	Yes	tr|A0AAP7A1C6|A0AAP7A1C6_PAEAL Tyrosine decarboxylase OS=Paenibacillus alvei OX=44250 GN=tdc PE=4 SV=1
tr|A0AAW4QG98|A0AAW4QG98_9ENTE	TDC	611	Enterococcus lactis	4.1.1.25	PF01276	Yes	Yes	tr|A0AAW4QG98|A0AAW4QG98_9ENTE Tyrosine decarboxylase OS=Enterococcus lactis OX=357441 GN=tdc PE=4 SV=1
tr|A0A1Q8J840|A0A1Q8J840_ENTFL	TDC	636	Enterococcus faecalis	4.1.1.25	PF01276	Yes	Yes	tr|A0A1Q8J840|A0A1Q8J840_ENTFL Tyrosine decarboxylase OS=Enterococcus faecalis OX=1351 GN=tdc PE=4 SV=1
tr|A0A8B3RVB8|A0A8B3RVB8_ENTFL	TDC	636	Enterococcus faecalis	4.1.1.25	PF01276	Yes	Yes	tr|A0A8B3RVB8|A0A8B3RVB8_ENTFL Tyrosine decarboxylase OS=Enterococcus faecalis OX=1351 GN=tdc PE=4 SV=1
tr|A0A9X1WKV2|A0A9X1WKV2_9BACL	TDC	622	Paenibacillus mangrovi	4.1.1.25	PF01276	Yes	Yes	tr|A0A9X1WKV2|A0A9X1WKV2_9BACL Tyrosine decarboxylase OS=Paenibacillus mangrovi OX=2931978 GN=tdc PE=4 SV=1
tr|A0AAI8LID2|A0AAI8LID2_ENTFC	TDC	611	Enterococcus faecium	4.1.1.25	PF01276	Yes	Yes	tr|A0AAI8LID2|A0AAI8LID2_ENTFC Tyrosine decarboxylase OS=Enterococcus faecium OX=1352 GN=tdc PE=4 SV=1
tr|A0AAW4R7Z4|A0AAW4R7Z4_BACCE	TDC	620	Bacillus cereus	4.1.1.25	PF01276	Yes	Yes	tr|A0AAW4R7Z4|A0AAW4R7Z4_BACCE Tyrosine decarboxylase OS=Bacillus cereus OX=1396 GN=tdc PE=4 SV=1
tr|A0AB38X3B8|A0AB38X3B8_LEVBR	TDC	626	Levilactobacillus brevis	4.1.1.25	PF01276	Yes	Yes	tr|A0AB38X3B8|A0AB38X3B8_LEVBR Tyrosine decarboxylase OS=Levilactobacillus brevis OX=1580 GN=tdc PE=4 SV=1
tr|E3C752|E3C752_9LACO	TDC	616	Limosilactobacillus oris PB013-T2-3	4.1.1.25	PF01276	Yes	Yes	tr|E3C752|E3C752_9LACO Tyrosine decarboxylase OS=Limosilactobacillus oris PB013-T2-3 OX=908339 GN=tdc PE=4 SV=1
tr|B8PV35|B8PV35_LEVBR	TDC	626	Levilactobacillus brevis	4.1.1.25	PF01276	Yes	Yes	tr|B8PV35|B8PV35_LEVBR Tyrosine decarboxylase OS=Levilactobacillus brevis OX=1580 GN=tyrdc PE=4 SV=1
tr|A0A1C9T9W1|A0A1C9T9W1_ENTMU	TDC	624	Enterococcus mundtii	4.1.1.25	PF01276	Yes	Yes	tr|A0A1C9T9W1|A0A1C9T9W1_ENTMU Tyrosine decarboxylase OS=Enterococcus mundtii OX=53346 GN=tyrDC PE=4 SV=1
tr|E7CZH5|E7CZH5_ENTFC	TDC	625	Enterococcus faecium	Unknown	PF01276	Yes	Yes	tr|E7CZH5|E7CZH5_ENTFC TyrdC OS=Enterococcus faecium OX=1352 GN=tyrDC PE=4 SV=1
tr|F4ZSS1|F4ZSS1_9BACL	TDC	639	Sporolactobacillus sp. P3J	4.1.1.25	PF01276	Yes	Yes	tr|F4ZSS1|F4ZSS1_9BACL Tyrosine decarboxylase OS=Sporolactobacillus sp. P3J OX=1006587 GN=tyrdc PE=4 SV=1
tr|J7JMQ1|J7JMQ1_LACPN	TDC	626	Lactiplantibacillus plantarum	4.1.1.25	PF01276	Yes	Yes	tr|J7JMQ1|J7JMQ1_LACPN Pyridoxal-dependent tyrosine decarboxylase OS=Lactiplantibacillus plantarum OX=1590 GN=tyrDC PE=4 SV=1
tr|Q6JV27|Q6JV27_ENTHR	TDC	624	Enterococcus hirae	4.1.1.25	PF01276	Yes	Yes	tr|Q6JV27|Q6JV27_ENTHR Tyrosine decarboxylase OS=Enterococcus hirae OX=1354 GN=tyrDc PE=4 SV=1
tr|Q8GH24|Q8GH24_LEVBR	TDC	635	Levilactobacillus brevis	4.1.1.25	PF01276	Yes	Yes	tr|Q8GH24|Q8GH24_LEVBR Pyridoxal-dependent tyrosine decarboxylase OS=Levilactobacillus brevis OX=1580 GN=tyrDC PE=4 SV=2
sp|I0DFJ0|AADC_BACAT	SadA/AADC	480	Bacillus atrophaeus	Unknown	PF01276	Yes	Yes	sp|I0DFJ0|AADC_BACAT Aromatic-L-amino-acid decarboxylase OS=Bacillus atrophaeus OX=1452 PE=1 SV=1
tr|Q88JU5|Q88JU5_PSEPK	SadA/AADC	470	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	Unknown	PF01276	Yes	Yes	tr|Q88JU5|Q88JU5_PSEPK DOPA decarboxylase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440) OX=160488 GN=PP_2552 PE=1 SV=1
sp|P0A0E8|SADA_STAAU	SadA/AADC	506	Staphylococcus aureus	4.1.1.28	PF01276	Yes	Yes	sp|P0A0E8|SADA_STAAU Staphylococcal aromatic amino acid decarboxylase SadA OS=Staphylococcus aureus OX=1280 GN=sadA PE=1 SV=1
sp|P0A0E8|SADA_STAAU	SadA	506	Staphylococcus aureus	4.1.1.28	PF01276	Yes	Yes	sp|P0A0E8|SADA_STAAU Staphylococcal aromatic amino acid decarboxylase SadA OS=Staphylococcus aureus OX=1280 GN=sadA PE=1 SV=1
tr|A0A3K0WEG0|A0A3K0WEG0_ECOLX	GAD	408	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A3K0WEG0|A0A3K0WEG0_ECOLX Glutamate decarboxylase (Fragment) OS=Escherichia coli OX=562 GN=D9D43_24490 PE=3 SV=1
tr|A0A2X1MSR4|A0A2X1MSR4_ECOLX	GAD	413	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A2X1MSR4|A0A2X1MSR4_ECOLX Glutamate decarboxylase OS=Escherichia coli OX=562 GN=gadB_1 PE=3 SV=1
tr|A0A0U4J1H4|A0A0U4J1H4_ECOLX	GAD	430	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A0U4J1H4|A0A0U4J1H4_ECOLX Glutamate decarboxylase OS=Escherichia coli OX=562 GN=gadB_1 PE=3 SV=1
tr|A0A2W6RBX2|A0A2W6RBX2_ECOLX	GAD	448	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A2W6RBX2|A0A2W6RBX2_ECOLX Glutamate decarboxylase (Fragment) OS=Escherichia coli OX=562 GN=DNQ45_11115 PE=3 SV=1
tr|A0A1E5GC92|A0A1E5GC92_9ENTE	GAD	448	Enterococcus ureasiticus	4.1.1.15	PF01276	Yes	Yes	tr|A0A1E5GC92|A0A1E5GC92_9ENTE Glutamate decarboxylase OS=Enterococcus ureasiticus OX=903984 GN=BCR21_13310 PE=3 SV=1
tr|A0A0H2YZJ8|A0A0H2YZJ8_ECOK1	GAD	430	Escherichia coli O1:K1 / APEC	4.1.1.15	PF01276	Yes	Yes	tr|A0A0H2YZJ8|A0A0H2YZJ8_ECOK1 Glutamate decarboxylase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=gadA PE=3 SV=1
tr|A0A2S1EPW6|A0A2S1EPW6_LIMRT	GAD	454	Limosilactobacillus reuteri	4.1.1.15	PF01276	Yes	Yes	tr|A0A2S1EPW6|A0A2S1EPW6_LIMRT Glutamate decarboxylase OS=Limosilactobacillus reuteri OX=1598 GN=gadB PE=3 SV=1
tr|A0A543Q0G8|A0A543Q0G8_ACITH	GAD	457	Acidithiobacillus thiooxidans ATCC 19377	4.1.1.15	PF01276	Yes	Yes	tr|A0A543Q0G8|A0A543Q0G8_ACITH Glutamate decarboxylase OS=Acidithiobacillus thiooxidans ATCC 19377 OX=637390 GN=gadA PE=3 SV=1
tr|A0A543I351|A0A543I351_9MICO	GAD	458	Humibacillus xanthopallidus	4.1.1.15	PF01276	Yes	Yes	tr|A0A543I351|A0A543I351_9MICO Glutamate decarboxylase OS=Humibacillus xanthopallidus OX=412689 GN=FBY41_1353 PE=3 SV=1
tr|A0A242DEM9|A0A242DEM9_9ENTE	GAD	458	Enterococcus sp. 3H8_DIV0648	4.1.1.15	PF01276	Yes	Yes	tr|A0A242DEM9|A0A242DEM9_9ENTE Glutamate decarboxylase OS=Enterococcus sp. 3H8_DIV0648 OX=1834178 GN=A5875_002329 PE=3 SV=1
tr|A0A1B9BZX8|A0A1B9BZX8_9PROT	GAD	458	Acidithiobacillus ferrivorans	4.1.1.15	PF01276	Yes	Yes	tr|A0A1B9BZX8|A0A1B9BZX8_9PROT Glutamate decarboxylase OS=Acidithiobacillus ferrivorans OX=160808 GN=BBC27_09080 PE=3 SV=1
tr|A0A0P7PX37|A0A0P7PX37_ECOLX	GAD	458	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A0P7PX37|A0A0P7PX37_ECOLX Glutamate decarboxylase (Fragment) OS=Escherichia coli OX=562 GN=ACU57_05425 PE=3 SV=1
tr|A0A0P7LQV5|A0A0P7LQV5_ECOLX	GAD	458	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A0P7LQV5|A0A0P7LQV5_ECOLX Glutamate decarboxylase (Fragment) OS=Escherichia coli OX=562 GN=ACU57_09560 PE=3 SV=1
tr|A0A060UKR5|A0A060UKR5_9PROT	GAD	458	Acidithiobacillus ferrivorans	4.1.1.15	PF01276	Yes	Yes	tr|A0A060UKR5|A0A060UKR5_9PROT Glutamate decarboxylase OS=Acidithiobacillus ferrivorans OX=160808 GN=gadB PE=3 SV=1
tr|A0A1E5GMT5|A0A1E5GMT5_9ENTE	GAD	460	Enterococcus ureasiticus	4.1.1.15	PF01276	Yes	Yes	tr|A0A1E5GMT5|A0A1E5GMT5_9ENTE Glutamate decarboxylase OS=Enterococcus ureasiticus OX=903984 GN=BCR21_03205 PE=3 SV=1
tr|A0A401UN38|A0A401UN38_9CLOT	GAD	462	Clostridium tagluense	4.1.1.15	PF01276	Yes	Yes	tr|A0A401UN38|A0A401UN38_9CLOT Glutamate decarboxylase OS=Clostridium tagluense OX=360422 GN=gadA PE=3 SV=1
tr|A0A1L8RKH2|A0A1L8RKH2_9ENTE	GAD	463	Enterococcus canis	4.1.1.15	PF01276	Yes	Yes	tr|A0A1L8RKH2|A0A1L8RKH2_9ENTE Glutamate decarboxylase OS=Enterococcus canis OX=214095 GN=RU97_GL000502 PE=3 SV=1
tr|A0A1B2I7Z4|A0A1B2I7Z4_9BACT	GAD	463	Cloacibacillus porcorum	4.1.1.15	PF01276	Yes	Yes	tr|A0A1B2I7Z4|A0A1B2I7Z4_9BACT Glutamate decarboxylase OS=Cloacibacillus porcorum OX=1197717 GN=BED41_13890 PE=3 SV=1
tr|A0A0M3DIB3|A0A0M3DIB3_9FIRM	GAD	463	Paraclostridium benzoelyticum	4.1.1.15	PF01276	Yes	Yes	tr|A0A0M3DIB3|A0A0M3DIB3_9FIRM Glutamate decarboxylase OS=Paraclostridium benzoelyticum OX=1629550 GN=VN21_10165 PE=3 SV=1
tr|A0A448TUJ3|A0A448TUJ3_9PAST	GAD	464	Actinobacillus delphinicola	4.1.1.15	PF01276	Yes	Yes	tr|A0A448TUJ3|A0A448TUJ3_9PAST Glutamate decarboxylase OS=Actinobacillus delphinicola OX=51161 GN=gadB PE=3 SV=1
tr|A0A3D5MT83|A0A3D5MT83_CLOSP	GAD	464	Clostridium sp	4.1.1.15	PF01276	Yes	Yes	tr|A0A3D5MT83|A0A3D5MT83_CLOSP Glutamate decarboxylase OS=Clostridium sp OX=1506 GN=DG753_02305 PE=3 SV=1
tr|A0A291DL39|A0A291DL39_9ENTE	GAD	464	Enterococcus sp. FDAARGOS_375	4.1.1.15	PF01276	Yes	Yes	tr|A0A291DL39|A0A291DL39_9ENTE Glutamate decarboxylase OS=Enterococcus sp. FDAARGOS_375 OX=2060307 GN=CO692_06855 PE=3 SV=1
tr|A0A0D0NHG5|A0A0D0NHG5_ECOLX	GAD	464	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A0D0NHG5|A0A0D0NHG5_ECOLX Glutamate decarboxylase (Fragment) OS=Escherichia coli OX=562 GN=BTQ06_14250 PE=3 SV=1
tr|A0A5E6YFL4|A0A5E6YFL4_PSEFL	GAD	465	Pseudomonas fluorescens	4.1.1.15	PF01276	Yes	Yes	tr|A0A5E6YFL4|A0A5E6YFL4_PSEFL Glutamate decarboxylase OS=Pseudomonas fluorescens OX=294 GN=gadA PE=3 SV=1
tr|A0A494R7B7|A0A494R7B7_9PSED	GAD	465	Pseudomonas sp. TMW 2.1634	4.1.1.15	PF01276	Yes	Yes	tr|A0A494R7B7|A0A494R7B7_9PSED Glutamate decarboxylase OS=Pseudomonas sp. TMW 2.1634 OX=1886807 GN=BFC21_21490 PE=3 SV=1
tr|A0A3S1BCS5|A0A3S1BCS5_9PSED	GAD	465	Pseudomonas sp. PAMC 29040	4.1.1.15	PF01276	Yes	Yes	tr|A0A3S1BCS5|A0A3S1BCS5_9PSED Glutamate decarboxylase OS=Pseudomonas sp. PAMC 29040 OX=2498450 GN=WG29040_13835 PE=3 SV=1
tr|A0A3P5DQN4|A0A3P5DQN4_ECOLX	GAD	465	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A3P5DQN4|A0A3P5DQN4_ECOLX Glutamate decarboxylase OS=Escherichia coli OX=562 GN=gadB_1 PE=3 SV=1
tr|A0A266LQK7|A0A266LQK7_PSEFR	GAD	465	Pseudomonas fragi	4.1.1.15	PF01276	Yes	Yes	tr|A0A266LQK7|A0A266LQK7_PSEFR Glutamate decarboxylase OS=Pseudomonas fragi OX=296 GN=CJF43_18595 PE=3 SV=1
tr|A0A105TMG0|A0A105TMG0_9PSED	GAD	465	Pseudomonas sp. TAD18	4.1.1.15	PF01276	Yes	Yes	tr|A0A105TMG0|A0A105TMG0_9PSED Glutamate decarboxylase OS=Pseudomonas sp. TAD18 OX=1729583 GN=gadA PE=3 SV=1
tr|A0A0J6IFA7|A0A0J6IFA7_9PSED	GAD	465	Pseudomonas helleri	4.1.1.15	PF01276	Yes	Yes	tr|A0A0J6IFA7|A0A0J6IFA7_9PSED Glutamate decarboxylase OS=Pseudomonas helleri OX=1608996 GN=GHO27_06530 PE=3 SV=1
tr|A5YKJ2|A5YKJ2_ECOLX	GAD	466	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A5YKJ2|A5YKJ2_ECOLX Glutamate decarboxylase OS=Escherichia coli OX=562 GN=gadB PE=1 SV=1
tr|A0A5F1HY14|A0A5F1HY14_9ESCH	GAD	466	Escherichia sp. E1130	4.1.1.15	PF01276	Yes	Yes	tr|A0A5F1HY14|A0A5F1HY14_9ESCH Glutamate decarboxylase OS=Escherichia sp. E1130 OX=2041645 GN=CQJ27_21225 PE=3 SV=1
tr|A0A4P8C0E4|A0A4P8C0E4_ECOLX	GAD	466	Escherichia coli O145:NM	4.1.1.15	PF01276	Yes	Yes	tr|A0A4P8C0E4|A0A4P8C0E4_ECOLX Glutamate decarboxylase OS=Escherichia coli O145:NM OX=991919 GN=CCU01_014750 PE=3 SV=1
tr|A0A454A8X6|A0A454A8X6_ECOL5	GAD	466	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	4.1.1.15	PF01276	Yes	Yes	tr|A0A454A8X6|A0A454A8X6_ECOL5 Glutamate decarboxylase OS=Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663 GN=ECP_3616 PE=3 SV=1
tr|A0A454A444|A0A454A444_ECOL5	GAD	466	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	4.1.1.15	PF01276	Yes	Yes	tr|A0A454A444|A0A454A444_ECOL5 Glutamate decarboxylase OS=Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663 GN=ECP_1489 PE=3 SV=1
tr|A0A437URT8|A0A437URT8_ENTAV	GAD	466	Enterococcus avium	4.1.1.15	PF01276	Yes	Yes	tr|A0A437URT8|A0A437URT8_ENTAV Glutamate decarboxylase OS=Enterococcus avium OX=33945 GN=EK398_16765 PE=3 SV=1
tr|A0A376P5S4|A0A376P5S4_ECOLX	GAD	466	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A376P5S4|A0A376P5S4_ECOLX Glutamate decarboxylase OS=Escherichia coli OX=562 GN=gadB_2 PE=3 SV=1
tr|A0A376M7R0|A0A376M7R0_ECOLX	GAD	466	Escherichia coli	4.1.1.15	PF01276	Yes	Yes	tr|A0A376M7R0|A0A376M7R0_ECOLX Glutamate decarboxylase OS=Escherichia coli OX=562 GN=gadB_2 PE=3 SV=1
